Titel,Notiz,URL,Kommentar
Zoologischer Garten Berlin,,https://www.google.com/maps/place/Zoologischer+Garten+Berlin/data=!4m2!3m1!1s0x47a851aabdc86f69:0x8139eb3ae980ae7e,
Aquarium Berlin,,https://www.google.com/maps/place/Aquarium+Berlin/data=!4m2!3m1!1s0x47a851aabdc86f69:0x6f120666c75e07fe,
Nördliche Innenstadt,"Altstadt
Restaurants
Geschäfte (keine Ketten)",https://www.google.com/maps/place/N%C3%B6rdliche+Innenstadt/data=!4m2!3m1!1s0x47a8f5db3abcabeb:0xafe7a0167bb7e78e,
Orangerieschloss,,https://www.google.com/maps/place/Orangerieschloss/data=!4m2!3m1!1s0x47a8f42ee64a634b:0xf90d2d5210510826,
Botanischer Garten der Universität Potsdam,,https://www.google.com/maps/place/Botanischer+Garten+der+Universit%C3%A4t+Potsdam/data=!4m2!3m1!1s0x47a8f4256de1c9ed:0x2d7386d4d16e03f0,
Chinesisches Haus im Park Sanssouci,,https://www.google.com/maps/place/Chinesisches+Haus+im+Park+Sanssouci/data=!4m2!3m1!1s0x47a8f431f870886d:0x8ee358c747affe12,
Walchensee,,https://www.google.com/maps/place/Walchensee/data=!4m2!3m1!1s0x479da15ef447ed5f:0xa93f22530415411a,
Gemeinschaftspraxis Warburger Straße,,https://www.google.com/maps/place/Gemeinschaftspraxis+Warburger+Stra%C3%9Fe/data=!4m2!3m1!1s0x47ba4cc315858021:0x86ffe8a3b10179d1,
Gesetzte Markierung,Japan,"https://www.google.com/maps/search/37.513518,15.0861674",
Gesetzte Markierung,,"https://www.google.com/maps/search/37.5093054,15.085917",
Schieder-Schwalenberg,,https://www.google.com/maps/place/Schieder-Schwalenberg/data=!4m2!3m1!1s0x47baf669d2fb7699:0xc6cca5cefa897899,
DingFabrik Köln e.V.,,https://www.google.com/maps/place/DingFabrik+K%C3%B6ln+e.V./data=!4m2!3m1!1s0x47bf25dd4f1532f1:0x404b6c32c44a6b3b,
Bamberg,,https://www.google.com/maps/place/Bamberg/data=!4m2!3m1!1s0x47a2230538d4beb5:0x41db728f061d980,
